"Nhóm thực phẩm","Tên món","Cách bảo quản","Cách sử dụng"
"Hạt và đậu","Hạnh nhân rang nhạt","Đựng trong túi zip hoặc hộp kín, bảo quản nơi khô ráo","Ăn trực tiếp"
"Hạt và đậu","Hạt điều không muối","Đựng trong túi kín, tránh ẩm","Ăn trực tiếp"
"Hạt và đậu","Hạt bí không gia vị","Đựng trong hộp kín, bảo quản nơi thoáng mát","Ăn trực tiếp"
"Hạt và đậu","Đậu gà rang","Rang khô, bảo quản trong túi kín","Ăn trực tiếp hoặc làm món phụ"
"Bánh ngũ cốc","Bánh gạo lứt không gia vị","Bảo quản trong túi kín hoặc hộp","Ăn trực tiếp"
"Bánh ngũ cốc","Bánh khoai lang hấp","Để trong hộp kín trong ngăn mát","Ăn trực tiếp hoặc làm bữa phụ"
"Bánh ngũ cốc","Yến mạch viên nén","Bảo quản nơi khô ráo, đựng trong hộp kín","Ăn trực tiếp"
"Bánh ngũ cốc","Quinoa nấu chín","Để trong hộp kín trong ngăn mát","Ăn như cơm hoặc kèm rau củ"
"Trái cây","Chuối chín vừa","Bảo quản nơi thoáng mát, tránh va đập","Ăn trực tiếp"
"Trái cây","Táo","Bảo quản nơi thoáng mát hoặc tủ lạnh","Ăn trực tiếp hoặc cắt lát"
"Trái cây","Đu đủ chín","Cắt miếng, đựng hộp kín trong ngăn mát","Ăn trực tiếp"
"Trái cây","Quả bơ chín vừa","Bọc kín hoặc để trong hộp, bảo quản nơi thoáng mát","Ăn trực tiếp hoặc làm salad"
"Rau củ","Cà rốt luộc","Cắt khúc, bảo quản trong hộp kín","Ăn trực tiếp hoặc làm bữa phụ"
"Rau củ","Khoai tây nướng hoặc luộc","Để nguội, đựng trong hộp kín","Ăn trực tiếp"
"Rau củ","Bí đỏ hấp","Cắt miếng, đựng trong hộp kín","Ăn trực tiếp hoặc làm món phụ"
"Rau củ","Cải bó xôi hấp","Để trong hộp kín, bảo quản trong ngăn mát","Ăn trực tiếp hoặc thêm vào món chính"
"Thực phẩm giàu protein","Trứng luộc","Bảo quản nơi thoáng mát hoặc ngăn mát tủ lạnh","Ăn trực tiếp"
"Thực phẩm giàu protein","Đậu phụ non hấp","Cắt miếng, đựng trong hộp kín","Ăn trực tiếp hoặc làm món chính"
"Thực phẩm giàu protein","Ức gà luộc","Xé nhỏ, bảo quản trong hộp kín","Ăn trực tiếp hoặc kèm rau củ"
"Thực phẩm giàu protein","Cá hồi nướng","Cắt lát nhỏ, đựng trong hộp kín","Ăn trực tiếp hoặc làm salad"
"Đồ uống","Sữa hạt tự làm","Đựng trong chai nhỏ, bảo quản ngăn mát","Uống trực tiếp"
"Đồ uống","Nước dừa tươi","Đựng trong chai nhỏ, bảo quản nơi thoáng mát","Uống trực tiếp"
"Đồ uống","Trà hoa cúc","Đựng trong bình giữ nhiệt","Uống trực tiếp"
